dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
"Lake Huron bibliography, with limited summaries / by Ronald Rossmann, Thomas Treese.",(dlps) 4739892.0001.001,http://name.umdl.umich.edu/4739892.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739892.0001.001,1981,text,"Rossmann, Ronald.","Treese, Thomas.","Rockwell, David C.",United States. Environmental Protection Agency.,University of Michigan. Great Lakes Research Division.,,,,"v, 143 p. ;  28 cm.",Project officer: David C. Rockwell.,"Under contract with United States Environmental Protection Agency, Grants R 005510-01-0 and R-005510-02-0.""",,,,The University of Michigan Great Lakes Digital Library,,"Limnology -- Huron, Lake (Mich. and Ont.)","Freshwater biology -- Huron, Lake (Mich. and Ont.)","Huron, Lake (Mich. and Ont.)",,,,,eng
Winter ice cover in the Great Lakes / John A. Heap.,(dlps) 4737682.0001.001,http://name.umdl.umich.edu/4737682.0001.001,"Ann Arbor, Mich. :: Institute of Science and Technology, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737682.0001.001,1963,text,"Heap, John A.",University of Michigan. Great Lakes Research Division.,,,,,,Unspecified,"1xx p. : ill., maps ; 28 cm.",Cover title.,,,,,The University of Michigan Great Lakes Digital Library,Science,"Ice on rivers, lakes, etc. -- Great Lakes.",,,,,,,eng
"Inshore Lake Michigan fish populations near the D.C. Cook Nuclear Power Plant during preoperational years, 1973, 1974 / by D.J. Jude ... [et al.].",(dlps) 4739031.0001.001,http://name.umdl.umich.edu/4739031.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739031.0001.001,1979,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"x, 529 p. : ill. ; 28 cm.",Includes bibliographical references (p. 509-529).,,,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",Nuclear reactors.,,,,,,eng
"Hydrological surveys for the Locust Point Power Plant. Part 1, General studies / John C. Ayers and Robert F. Anderson.",(dlps) 4738113.0001.001,http://name.umdl.umich.edu/4738113.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738113.0001.001,1969,text,"Ayers, John C. (John Carr), 1912-","Anderson, Robert F.",Toledo Edison Company.,University of Michigan. Great Lakes Research Division.,,,,,"1 v. (various pagings) : ill., maps ; 28 cm.",Under contract with the Toledo Edison Company.,Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,Locust Point Power Plant -- Environmental aspects.,,,,,,,eng
"Limnological characteristics of northern Lake Michigan, 1976 / by Claire L. Schelske ... [et al.].",(dlps) 4739915.0001.001,http://name.umdl.umich.edu/4739915.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739915.0001.001,1983,text,"Schelske, Claire L.",University of Michigan. Great Lakes Research Division.,,,,,,,"xiv, 245 p. : ill., map ; 28 cm.",December 1983.,Loose-leaf.,Includes bibliographies.,"pt. 1. Physical-chemical conditions / by Claire L. Schelske, Russell A. Moll, and Thomas D. Berry--pt. 2. Phytoplankton population studies / by Eugene F. Stoermer.",,The University of Michigan Great Lakes Digital Library,,"Limnology -- Michigan, Lake.","Phytoplankton -- Michigan, Lake.","Ecology -- Environmental aspects -- Michigan, Lake.",,,,,eng
"Seasonal abundance and spatial distribution of Lake Michigan macrobenthos, 1964-67 / Wayne P. Alley and Samuel C. Mozley.",(dlps) 4738439.0001.001,http://name.umdl.umich.edu/4738439.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738439.0001.001,1975,text,"Alley, Wayne Paul.","Mozley, Samuel C.",University of Michigan. Great Lakes Research Division.,,,,,,"v, 103 p. : ill. ; 28 cm.",Includes bibliographical references (p. 63-66).,,,,,The University of Michigan Great Lakes Digital Library,,"Benthos -- Michigan, Lake.",,,,,,,eng
"Winter operations, 1970-1971 / John C. Ayers, Norbert W. O'Hara, William L. Yocum.",(dlps) 4740575.0001.001,http://name.umdl.umich.edu/4740575.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740575.0001.001,1971,text,"Ayers, John C. (John Carr), 1912-","O'Hara, Norbert W.","Yocum, William L.",University of Michigan. Great Lakes Research Division.,,,,,37 p. : ill. ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Ice on rivers, lakes, etc. -- Michigan, Lake.","Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Cook Plant preoperational studies, 1969 / John C. Ayers ... [et al.].",(dlps) 4740515.0001.001,http://name.umdl.umich.edu/4740515.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740515.0001.001,1970,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,92 p. : maps ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
"Phytoplankton associations in Lake Ontario during IFYGL / Eugene F. Stoermer and Theodore B. Ladewski ; project officer, Andrew Robertson, Great Lakes Environmental Research Laboratory, National Oceanic and Atmospheric Administration, Ann Arbor, Mich.",(dlps) 4738931.0001.001,http://name.umdl.umich.edu/4738931.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738931.0001.001,1978,text,"Stoermer, Eugene F., 1934-","Ladewski, Theodore B., author.","Robertson, Andrew, 1936-",International Field Year for the Great Lakes.,Great Lakes Environmental Research Laboratory.,University of Michigan. Great Lakes Research Division.,,,106 p. : ill. ; 28 cm.,Bibliography: p. 106.,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Ontario, Lake (N.Y. and Ont.)",,,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook Nuclear Plant, 1979 / Ronald Rossmann, William Chang, James Barres.",(dlps) 4742370.0001.001,http://name.umdl.umich.edu/4742370.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742370.0001.001,1982,text,"Rossmann, Ronald.","Chang, William.","Barres, James.",University of Michigan. Great Lakes Research Division.,,,,,"xii, 98 p. : ill. ; 28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.","July, 1982.",,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
