whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/8717,Manuscript,"1961, Green Bay Press-Gazette Titletown U.S.A. '61, page 4",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/8717,Unspecified,turningpoints-whs,GLA,History,Green Bay Packers,1961,,,Green Bay Packers,English,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/8718,Still Image,"Green Bay Packer memorabilia, 1944-1968",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/8718,Unspecified,turningpoints-whs,GLA,History,Green Bay Packers,,"1944, 1968",1944-1968,Green Bay Packers,English,The Rise of Professional Sports
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/11261,Codex,"C.C. Britt letter, June 29, 1887, page 2",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/11261,Unspecified,turningpoints-whs,GLA,History,Harvey Haskell,,1881,1881?,"Haskell, Frank Aretas, 1828-1864",English,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13630,Physical Object,Sausage gun,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13630,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,"1800, 1820",1800-1820,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13631,Physical Object,Sausage stuffer,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13631,Unspecified,turningpoints-whs,GLA,History,Wagner,,"1925, 1935",1925-1935,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13632,Physical Object,"Sausage stuffer, with spouts",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13632,Unspecified,turningpoints-whs,GLA,History,Wagner,,"1925, 1935",1925-1935,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13633,Physical Object,Sausage stuffers,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/13633,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,"1800, 1820",1800-1820,,,German Americans
,,,,,,,,,,"1925, 1935",1925-1935,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/26917,Codex,"La Follette's speech in the U. S. Senate against the entry of the United States into the World War, April 4, 1917",http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/26917,Unspecified,turningpoints-whs,GLA,History,U.S. Government Printing Office,1917,,,"La Follette, Robert M. (Robert Marion), 1855-1925",English,The Career of Robert M. La Follette
,,,,,,,,,1934,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28276,Manuscript,Title page,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28276,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28277,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28277,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28278,Manuscript,2,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28278,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28279,Manuscript,3,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28279,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28280,Manuscript,4,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28280,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28281,Manuscript,5,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28281,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,1899,,,"Merrell, Henry, 1804-1876",Ho-Chunk,
,,,,,,,,,1915,,,,,
,,,,,,,,,1930,,,,,
