about_link,thumb_link,year_end,year_begin,title,format,source,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,relation,location 1,location 2,location 3,location 4,location 5,identifier,description,type,rights,publisher,language,creator 1,creator 2,creator 3,creator 4,contributor 1,contributor 2,contributor 3,contributor 4,contributor 5
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/45,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/45,,,"Nahcunabowbow (Standing Forward), Chippewa",1 portrait photograph; image 12.6 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 299

ap299box25_o2.jpg",Portrait photograph of a man standing slightly forward,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/46,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/46,,,"Si-ha'-han'-ska (Long Foot), Yankton Dakota",1 portrait photograph; image 12.6 x 18.3 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 54 AP 580

ap580box54_o2.jpg","Portrait photograph of Long Foot standing. See also box 54, AP 578 and AP 579.",Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/47,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/47,,,"Es-sen-ce (Little Shell), Chippewa",1 portrait photograph; image 12.4 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 289

ap289box25_o2.jpg",Portrait photograph of a man,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/48,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/48,,,"Mis-ko-pe-nen-she (Red Bird), chief of Lake Winnipeg Band, Chippewa",1 carte de visite; image 5.9 x 8.7 cm; on sheet 6.2 x 10.1 cm Albumen prints; Cartes de visite; Photographs; Portraits Tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 76 AP 3053

ap3053box76_o2.jpg",Card stock portrait of Red Bird. There is a two cent stamp on the back.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,"Whitney's Gallery (Saint Paul, Minn.)",,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/49,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/49,,,"Michel St. Cyr, Winnebago",1 portrait photograph; image 12.6 x 17.8 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 52 AP 1638

ap1638box52_o2.jpg",Head and shoulders portrait photograph of Michel St. Cyr. See also Ayer Photographs Box 52 AP 1639.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/50,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/50,,,"Hole-in-the-day, Chippewa",1 portrait photograph; image 12.5 x 17.0 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 309

ap309box25_o2.jpg",Portrait photograph of a man sitting,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/51,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/51,,,"Michel St. Cyr, Winnebago (Half-caste)",1 portrait photograph; image 12.7 x 18.1 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 52 AP 1641

ap1641box52_o2.jpg",Profile portrait photograph of Michel St. Cyr,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/52,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/52,,,"Tepees, Dakota",1 carte de visite; 5.8 x 8.2 cm; on sheet 6.2 x 9.9 cm Albumen prints; Cartes de visite; Photographs Tiff,,Indians of North America,Siouan Indians,Tipis,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","Minnesota
",,,,,"Ayer Photographs box 76 AP 3074

ap3074box76_o2.jpg",Photograph of two tepees on card stock. Two cent stamp on the back.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/53,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/53,,,"Pi-pi-sha (Red Lodge), Cuthead Dakota",1 portrait photograph; image 12.1 x 17.9 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Winnebago Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 388

ap388box53_o2.jpg",Portrait photograph of Red Lodge sitting in profile,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/54,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/54,,,"Edawibilib, Chippewa",1 portrait photograph; image 12.5 x 18.0 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 288

ap288box25_o2.jpg",Portrait photographic  of a man in profile,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/55,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/55,,,"George Copway, Chippewa",1 photographic print; image 8.4 x 13.0 cm; on sheet 17.8 x 22.8 cm Photographs; Portraits; Engravings tiff,,Indians of North America,Ojibwa Indians,"Copway, George, 1818-1869",,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 286

ap286box25_o2.jpg",Head and shoulders portrait photographic print on a man. Print of engraving by T.B. Welch from daguerreotype by McClees & Germon.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,"Welch, Thomas B., 1814-1874",McClees & Germon,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/56,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/56,,,"Naw-yaw-nab (Foremost Sitter), Chippewa",1 portrait photograph; image 11.9 x 17.1 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 25 AP 300

ap300box25_o2.jpg",Portrait photograph of a man standing,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/57,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/57,,,"He-ha-ka-a-na-zin (Standing Elk), Yankton Dakota",1 portrait photograph; image 12.6 x 18.3 cm; on sheet 18.3 x 17.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 556

ap556box53_o2.jpg",Portrait photograph of He-ha-ka-a-na-zin (Standing Elk),Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/58,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/58,,,"Delegation, Sisseton Dakota",1 portrait photograph; image 40.1 x 27.9 cm; on sheet 40.7 x 35.0 cm Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Santee Indians,Sisseton Indians,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 93 AP 2197

ap2197box93_o2.jpg",Group delegation of unnamed men,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/59,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/59,1863,1850,"Ay-pe'-tu To'-ke-tsha (The Other Day), warrior, Wahpeton Dakota",1 portrait photograph ; image 12.2 cm. x 16.4 cm. (4 13/16 in. x 6 7/16 in.) ; on sheet 25.3 cm. x 34.2 cm. (9 15/16 in. x 13 7/16 in.) Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Santee Indians,Wahpeton Indians,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","Washington (D.C.)
",,,,,"Ayer Photographs box 116 AP 2559

ap2559box116_o2.jpg",Portrait photograph of Ay-pe'-tu To'-ke-tsha (The Other Day) on its original mount.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,eng,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/60,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/60,,,"Po-go-nay-ke-shick (Hole in the Day), Chief, Chippewa",1 carte de visite; image 5.8 x 8.6 cm; on sheet 6.3 x 10.2 cm Albumen prints; Cartes de visite; Photographs; Portraits Tiff,,Indians of North America,Ojibwa Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 76 AP 3056

ap3056box76_o2.jpg",Head to toe portrait of an Indian chief on photographic card stock. Two cent stamp on back.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,"Whitney's Gallery (Saint Paul, Minn.)",,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/61,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/61,,,"Ma-hpi'-ya-i-huan (Coming among the Clouds), Santee Dakota",1 portrait photograph; image 12.6 x 18.1 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Santee Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 36 AP 517

ap517box36_o2.jpg",Portrait photograph of man sitting with hat,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/62,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/62,,,"In-yan-was-te (Pretty Rock), Yankton Dakota",1 portrait photograph; image 12.1 x 18.2 cm; on sheet 17.8 x 22.8 cm Albumen prints; Photographs; Portraits Tiff,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","
",,,,,"Ayer Photographs box 53 AP 557, Box 53

ap557box53_o2.jpg",Portrait photograph of In-yan-was-te (Pretty Rock),Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_eeayer/id/63,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_eeayer/id/63,,1850,"Ta-Tang'-ka I'-yang-ke (Running Bull), warrior, Yanton Dakota",1 portrait photograph; image 12.2 x 16.2 cm; on sheet 25.4 x 34.3 cm Albumen prints; Photographs; Portraits jpeg,,Indians of North America,Yankton Indians,,,,,,,,,,"Edward E. Ayer Photograph Collection (Newberry Library)
Edward E. Ayer Digital Collection (Newberry Library)","Washington (D.C.)
",,,,,"Ayer Photographs box 116 AP 2551

ap2550box116_o2.jpg",Portrait photograph of Ta-Tang'-ka I'-yang-ke (Running Bull) on its original mount.,Still image,"All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,English,,,,,,,,,
