about_link,thumb_link,year_end,year_begin,title,format,source,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,relation,location 1,location 2,location 3,location 4,location 5,identifier,rights,publisher,type,creator 1,creator 2,language,description,contributor 1,contributor 2,contributor 3
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/479,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/479,1939,1930,"Percy Sloan photograph collection inventory checklist for suburban buildings, 1930s?
","
Manuscripts; Inventories
tiff","
",Photograph collections,"Architecture
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago Suburban Area
",,,,,"Midwest MS Sloan Box 2 Folder 59

index.cpd","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Text,"Sloan, Percy H. (Percy Haydn), 1867-",,English,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/500,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/500,1939,1930,"Percy Sloan photograph collection inventory checklist by architectural style, 1930s?
","
Manuscripts; Inventories
tiff","
",Photograph collections,"Architecture
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 2 Folder 56

index.cpd","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Text,"Sloan, Percy H. (Percy Haydn), 1867-",,English,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/501,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/501,,1913,"Saint Dominic's Catholic Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 15

mms_sloan_bx_1_fl_15_09_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Dominic's Catholic, Locust and Sedgwick""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/502,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/502,,1938,"Annunciation Greek Orthodox Cathedral, Chicago, May 8, 1938
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 22

mms_sloan_bx_1_fl_22_03_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Greek Church, 1107 N. La Salle Ave.; underexposed, May 8, 1938""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/503,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/503,1925,1900,"Unidentified male bust sculpture, Illinois, early 20th century
","
Photographs
tiff","
","Sculpture
",,,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois
",,,,,"Midwest MS Sloan Box 2 Folder 53

mms_sloan_bx_2_fl_53_02_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/504,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/504,1925,1900,"Colonial style house, Chicago, early 20th century
","
Photographs
tiff","
","Architecture, Colonial",Housing,"Architecture, Domestic","Dwellings
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 33

mms_sloan_bx_1_fl_33_07_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""4820 Woodlawn Ave.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/505,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/505,1925,1900,"Franklin MacVeagh house, Chicago, early 20th century
","
Photographs
tiff","
",Housing,Mansions,"MacVeagh, Franklin, 1837-1934","Architecture, Domestic","Dwellings
",,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 35

mms_sloan_bx_1_fl_35_18_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Franklin McVeagh Res., N.W. corner Schiller and Lake Shore Drive; H.H Richardson, Archt.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/506,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/506,1925,1900,"Home for the Friendless, Chicago, early 20th century
","
Photographs
tiff","
","Social settlements
",,,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 30

mms_sloan_bx_1_fl_30_02_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Chi. Home of the Friendless, 50th at Vincennes""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/507,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/507,1925,1900,"Blackstone Library, Chicago, early 20th century
","
Photographs
tiff","
",Libraries,Library buildings,"Public libraries
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 39

mms_sloan_bx_1_fl_39_03_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Blackstone Muem. Library; Lake Ave and 49th""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/508,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/508,,1913,"Haskell Hall, University of Chicago, 1913
","
Photographs
tiff","
",University of Chicago,Universities and colleges,College facilities,"College buildings
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 31

mms_sloan_bx_1_fl_31_14_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Haskell Hall, Chemical and Physical Laboratory, Uni. of Chicago, 1913""--Photograph verso.",,,
